NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
V.o.f. Firma Gebroeders Bayense;VOF;Leutsestraat 8;5311 AA;GAMEREN;B.  Bayense;EUR;01-01-18;3;;
M. Raaijmakers en Zonen Expeditiebedrijf B.V.;BV;Sluitappel 23;5491 TS;SINT OEDENRODE;M.M.A.J.  Raaijmakers;EUR;01-01-18;20;;
V.o.f. Transportbedrijf B. Koopmans;VOF;Wagenweg 18;8374 ET;KUINRE;B.  Koopmans;EUR;05-07-15;4;;
V.o.f. B.J. Kramer;VOF;Griend  9;8321 MN;URK;E.P.  Kramer;NAT;;4;;
Albert Keijzer B.V.;BV;A. Keijzerstraat 1-4;1508 EZ;ZAANDAM;M. G. R. de Visser;EUR;01-01-18;151;;
Zijderhand Transport B.V.;BV;Weg en Land 10;2661 DB;BERGSCHENHOEK;M.M. van den Bogerd;EUR;01-01-18;42;;
Transport- en Aannemingsbedrijf B.J.A. Lesker B.V.;BV;Edisonstraat 3;7601 PS;ALMELO;E.B.H.  Lesker;EUR;14-02-16;8;;
Transportbedrijf Van Leusden B.V.;BV;Nude 1;6702 DH;WAGENINGEN;H.  Vink;EUR;16-09-18;22;;
A. van Looijengoed Transport B.V.;BV;Lageweg 46;3849 PE;HIERDEN;A.  Looijengoed;EUR;07-05-20;3;;
Grondverzetbedrijf Lokhorst B.V.;BV;Tongerenseweg Zuid 193;8162 SC;EPE;P.  Lokhorst;NAT;;4;;
G.H. van Maurik;Eenmanszaak;Brinkstraat 4 A;4033 CX;LIENDEN;G.H. van Maurik;NAT;;1;;
H.C. Zwiers, h.o.n. Erik Zwiers;Eenmanszaak;Marwijksoord 19;9448 XA;MARWIJKSOORD;H.C.  Zwiers;EUR;01-01-18;1;;
Merks Verhuur en Transport B.V.;BV;Wordenseweg 48;5334 JB;VELDDRIEL;G.L.H.M.  Merks;NAT;;1;;
Internationale Expeditieonderneming Coulance Amsterdam B.V.;BV;Stadionweg 121;1077 SK;AMSTERDAM;H.A.M.  Koenders;EUR;01-01-18;8;;
V.o.f. T. Middelkoop Expeditiebedrijf;VOF;Tiendweg 1;4152 GC;RHENOY;G.A.  Middelkoop;EUR;20-12-15;1;;
J.H. Meijers, h.o.n. J.H. Meijers Transport;Eenmanszaak;Kapweg 41;3774 RC;KOOTWIJKERBROEK;J.H.  Meijers;EUR;01-02-16;1;;
D. Meijer;Eenmanszaak;Weidehuisstraat 14;7771 WD;HARDENBERG;D.  Meijer;NAT;;1;;
Duiker Vervoer B.V.;BV;Westhavenweg 93;1042 BA;AMSTERDAM;H.  Duiker;EUR;01-01-18;16;;
A.V.B  Terbraak V.o.f.;VOF;Vredenseweg 125;7142 JA;GROENLO;R.J.M.  Terbraak;NAT;;1;;
Verduyn Group Nederland B.V.;BV;Rijnlanderweg 780;2132 NM;HOOFDDORP;A.J.  Verduijn;EUR;01-01-18;29;;
Weltens B.V. Internationale Transporten;BV;De Koumen 74;6433 KE;HOENSBROEK;P.R.G.H.  Hulsbosch;EUR;01-01-18;18;;
Internationale Transport en Verhuizingen H.J. Beck en Zn. B.V.;BV;Factorijweg 9;6541 DM;NIJMEGEN;W.H.L.J.  Beck;EUR;01-01-18;18;;
A. Nab;Eenmanszaak;Hogenkampweg 32;7255 JZ;HENGELO;A.  Nab;NAT;;1;;
R. Nab;Eenmanszaak;Bronsbergen 1;7207 AA;ZUTPHEN;R.  Nab;EUR;31-01-16;2;;
L.M.F. Teunissen, h.o.n. Teunissen Transport;Eenmanszaak;Tielsestraat 30;6675 AD;VALBURG;L.M.F.  Teunissen;EUR;01-05-16;1;;
Nienhuis Transport B.V.;BV;Flipsweg 13 A;7165 BL;RIETMOLEN;D.G.H.  Nienhuis;NAT;;10;;
V.o.f. Transportbedrijf Van der Moore;VOF;Margrietstraat 5  B;4175 GA;HAAFTEN;C.H. van der Moore;EUR;01-05-18;2;;
Keulen's Transport- en Grondverzetbedrijf B.V.;BV;Molenweg 25;6104 AH;KONINGSBOSCH;M.A.M.  Keulen;EUR;01-01-18;4;;
Transportbedrijf H. Oude Ophuis V.o.f.;VOF;Oranjestraat 36;7591 GB;DENEKAMP;A.M.  Oude Ophuis-Ditters;EUR;22-01-17;11;;
B.J.H. Oosterhout, h.o.n. Bas Oosterhout;Eenmanszaak;Nieuweweg 168;6603 BT;WIJCHEN;B.J.H.  Oosterhout;NAT;;1;;
Mus Transport B.V.;BV;Molenstraat 4;4171 CP;HERWIJNEN;E.G.  Mus;EUR;12-01-20;10;;
Transportbedrijf J. de Olde B.V.;BV;Kadoelen 24 A;8326 BB;SINT JANSKLOOSTER;P. de Olde;EUR;14-02-16;8;;
Olde Kalter Transport B.V.;BV;Beitelstraat 28;7556 NC;HENGELO;G.W.J.  Visscher;EUR;20-12-15;9;;
Noordendorp Transport B.V.;BV;Industriestraat 18;7482 EZ;HAAKSBERGEN;M.H.J.  Wentink;EUR;02-03-19;40;;
G.A. Timmer;Eenmanszaak;Prins Hendrikstraat 7;5308 JJ;AALST;G.A.  Timmer;NAT;;1;;
Internationaal Transportbedrijf W. Daemen B.V.;BV;Venloseweg 19;5993 PG;MAASBREE;W. B. M.  Daemen;EUR;01-01-18;11;;
V.o.f. Overmeen Transport Twello;VOF;Vivaldistraat 10;7391 ST;TWELLO;A.D.  Overmeen;EUR;05-10-19;5;;
Vos Logistics Ede B.V.;BV;Galvanistraat 100;6716 AE;EDE;W.  Roelofsen;EUR;01-01-18;1;;
V.o.f. Theo Peters en Zonen;VOF;Groenestraat 9;6681 DV;BEMMEL;H.A.T.  Peters;EUR;14-05-17;2;;
Transportbedrijf Pater & Zn. B.V.;BV;Dronkelaarseweg 29;3784 WB;TERSCHUUR;A.  Pater;NAT;;1;;
W.T. Roersen;Eenmanszaak;Steenbeek 26;3861 LH;NIJKERK;W.T.  Roersen;EUR;30-03-19;1;;
Tanke Transport B.V.;BV;ABC Westland 312;2685 DD;POELDIJK;W.F.M.  Tanke;EUR;01-01-18;20;;
B.V. Verhuis- en Transportbedrijf v/h H. Koenders en Zonen;BV;Churchilllaan 124;1078 EN;AMSTERDAM;H.J.M.  Koenders;EUR;20-12-15;6;;
Reductum B.V.;BV;Woudstraat 1;4031 JA;INGEN;K.  Dellebeke-den Boer;EUR;07-02-16;16;;
Radstaat Transporten V.O.F.;VOF;Berkenlaan 4 A;6721 CD;BENNEKOM;M.W.M.  Radstaat;EUR;16-08-15;5;;
A. Bernhard, h.o.n. Transport- en Verhuurbedrijf Bernard;Eenmanszaak;Oosterringweg 26;8315 PT;LUTTELGEEST;A.  Bernhard;NAT;;7;;
Internationaal Transport-, Expeditie- en Aannemersbedrijf M. Janssen en Zonen B.V.;BV;Kruisstraat 109;5935 RB;STEIJL;M.J.G.L.  Janssen;EUR;01-01-18;5;;
Internationaal Transportbedrijf en Kleiexploitatie H.J. Beaujean B.V.;BV;De Koumen 92;6433 KE;HOENSBROEK;H.G.M.J.  Beaujean;EUR;01-01-18;14;;
Otte Lisse B.V.;BV;Heereweg 1 B;2161 AB;LISSE;T.G.M.  Otte;NAT;;18;;
Bakker Bouwmaterialen V.o.f.;VOF;Hakstraat 5;8308 AH;NAGELE;W.  Bakker;NAT;;1;;
Schreuders Handel en Transport B.V.;BV;Weitjesweg 56;5306 XX;BRAKEL;M.J.E.  Schreuders-Duijzer;EUR;29-11-15;8;;
J.H.L. Slofstra, h.o.n. SLO-VA Transportbedrijf;Eenmanszaak;Van Leeuwenhoekstraat 15;3846 CA;HARDERWIJK;J.H.L.  Slofstra;EUR;26-01-20;7;;
Van 't Slot Transport V.o.f.;VOF;Molenweg 3;8075 PA;ELSPEET;A.G. van den Hardenberg-van 'tSlot;EUR;30-03-19;7;;
S.T.H.V. (Speciaal Transport Ter Horst Varsseveld) B.V.;BV;Aaltenseweg 58;7051 GV;VARSSEVELD;S. ter Horst;EUR;23-12-18;14;;
STTN V.o.f., h.o.n. Snellen Transport Tuinhout en Natuursteen;VOF;Postweg 207;6741 MK;LUNTEREN;G.  Snellen;EUR;12-05-19;5;;
Van Straaten Raalte B.V.;BV;Kaagstraat 20;8102 GZ;RAALTE;M.H.M. van Straaten;EUR;19-04-20;5;;
M.H.M. van Herwijnen;Eenmanszaak;Bulkseweg 26;5331 PK;KERKDRIEL;M.H.M. van Herwijnen;NAT;;1;;
V.o.f. Firma A. Sierink Transportbedrijf;VOF;Parallelweg 6;7772 SB;HARDENBERG;G.  Sierink;EUR;29-05-16;7;;
Oostvogels Transporten B.V.;BV;Hazeldonk 6252-6254;4836 LG;BREDA;E.J.C.  Oostvogels;EUR;01-01-18;52;;
Verhoeven Internationaal Transport B.V.;BV;Jagersveld 4;5405 BW;UDEN;M.P.M.  Bruijsten;EUR;01-01-18;43;;
V.O.F. Evert Uitslag Melktransport;VOF;Meeleweg 48;7711 EN;NIEUWLEUSEN;E.  Uitslag;NAT;;1;;
G.A. SernÇ Transport B.V.;BV;Laageinde 33;4191 NR;GELDERMALSEN;G.A.  Serne;EUR;17-03-18;1;;
Transportbedrijf Van de Swaluw B.V., h.o.n. Internationaal Transportbedrijf v.d. Swaluw;BV;Noordland 13;4451 RP;HEINKENSZAND;J.J. de Vos;EUR;01-01-18;27;;
V.o.f. Fa. Hesselman;VOF;Veldegge  7;7468 DJ;ENTER;H.M.E.A.  Freriksen-Hesselman;EUR;01-01-18;9;;
Van Hoek Verhuizingen B.V.;BV;Emdenweg 2;9723 TB;GRONINGEN;H.H.  Venhuizen;EUR;01-01-18;8;;
V.o.f. Firma Vonderman;VOF;Raalterstraat 64;8141 RM;HEINO;J.B.M.  Vonderman;EUR;16-08-15;4;;
V.o.f. Transportbedrijf Vos;VOF;Pannerdenseweg 105;6686 BD;DOORNENBURG;J.W.A.M  Vos;EUR;01-11-16;6;;
Roosendaal B.V.;BV;Verlaat 18;1601 JW;ENKHUIZEN;H.J.N. van den Berg;EUR;05-05-18;4;;
A. Verweij, h.o.n. A. Verweij Transport;Eenmanszaak;Donkerstraat 26;4119 LZ;RAVENSWAAIJ;A.  Verweij;EUR;10-10-19;1;;
Transportbedrijf Gebr. Verhoef B.V.;BV;Speulmanweg 15;4112 ND;BEUSICHEM;G.M.C.  Verhoef-Verkerk;EUR;23-08-15;6;;
E.W.A. Verhaar, h.o.n. Transportbedrijf Verhaar;Eenmanszaak;Schoresteynstraat 18;4158 DE;DEIL;E.W.A.  Verhaar;EUR;18-11-18;1;;
Internationaal Transportbedrijf Gosliga B.V.;BV;Rinia van Nautaweg 12;9061 AE;GYTSJERK;R.  Gosliga;EUR;01-01-18;28;;
Joh. Smit Transport B.V.;BV;Hoofdweg 137;9681 AD;MIDWOLDA;J.  Smit;EUR;01-01-18;15;;
G.J.A.H. Wildenbeest, h.o.n.  Wildenbeest Vrachttaxi;Eenmanszaak;Navisweg 7;7122 ME;AALTEN;G.J.A.H.  Wildenbeest;EUR;02-07-17;3;;
P. Vowinkel, h.o.n. P. Vowinkel Transportbedrijf;Eenmanszaak;Wierdenseweg 62-64;7671 JK;VRIEZENVEEN;P.  Vowinkel;EUR;03-03-18;1;;
B.V. Expeditiebedrijf V.V.A.D. v/h H. Driesen;BV;Schaarweg 2;8325 DC;VOLLENHOVE;H.  Driesen;EUR;07-04-18;9;;
IJsseldijk V.o.f.;VOF;Beentjesweg 2;7396 PC;TERWOLDE;J.P.J.  IJsseldijk;NAT;;2;;
G.A. van de Werken, h.o.n. G.A. van de Werken Aalst Gld;Eenmanszaak;E.P. van Ooijenstraat 21;5308 KD;AALST;G.A. van de Werken;EUR;18-06-15;1;;
V.O.F. Wisman;VOF;Kwikkels 2;8341 SK;STEENWIJKERWOLD;K.  Wisman;NAT;;11;;
J. Vos Wegtransport Zwartsluis B.V.;BV;Zomerdijk 67;8064 XC;ZWARTSLUIS;J.M.  Vos;NAT;;9;;
Transportonderneming K.R. Wisman en Zoon B.V.;BV;Oldemarktseweg 52;8341 SG;STEENWIJKERWOLD;G.  Wisman;NAT;;5;;
V.o.f. Fa. 't Zwaentje;VOF;Postweg 27;3794 MJ;DE GLIND;W.A.  Melissen;NAT;;2;;
D. Welleweerd;Eenmanszaak;Tottenhamstraat 38;7701 BN;DEDEMSVAART;D.  Welleweerd;NAT;;2;;
Internationaal Transportbedrijf Van Opijnen III B.V.;BV;Brunswijkstraat 10;7418 EM;DEVENTER;G.  Praas;EUR;13-05-18;25;;
Van Werven Afvalinzameling B.V.;BV;Verlengde Looweg 7;8096 RR;OLDEBROEK;W.J.H.  Werven;EUR;19-10-15;53;;
V.O.F. B. en E. Wijnne, Melktransporteurs;VOF;Zuideinde West 2;8278 AP;KAMPERVEEN;B.  Wijnne;NAT;;3;;
V.o.f. J.G. de Vos Transport;VOF;Stokvisweg 15;4107 LK;CULEMBORG;P.F. de Vos;EUR;01-12-19;5;;
Sierink Transport  B.V.;BV;Crullsweg 17;7694 TA;KLOOSTERHAAR;E.  Doldersum - Sierink;EUR;24-09-15;1;;
Verhoek Internationaal Transport B.V.;BV;Nijverheidstraat 20;8281 JE;GENEMUIDEN;J.  Verhoek;EUR;01-01-18;296;;
Voschezang Transport B.V.;BV;Parmentierweg 8;7602 PW;ALMELO;M.B.S.  Voschezang;EUR;09-01-18;1;;
Transportbedrijf J.A. van Wanrooy B.V.;BV;Koopvaardijweg 3   A;4906 CV;OOSTERHOUT;P.A. van Wanrooij;EUR;01-01-18;51;;
Van Beek Verhuizingen V.o.f., h.o.n. Van Beek Verhuizingen/v.d. Kuil Verhuizingen;VOF;Van der Merschlaan 62;3705 TJ;ZEIST;J.H. van Beek;NAT;;4;;
C. Timmer Transportbedrijf B.V.;BV;Hoofdstraat 172;6674 BE;HERVELD;B.H.  Timmer-Mulder;EUR;28-12-19;23;;
Grondverzetbedrijf Friesland B.V.;BV;Spikerboor 19;8491 PB;AKKRUM;T. van Vliet;NAT;;1;;
W. van Alphen, h.o.n. Transportbedrijf W. van Alphen;Eenmanszaak;Oudestraat 10;5311 AB;GAMEREN;W. van Alphen;EUR;11-01-20;1;;
V.o.f. Firma C.W. Beeke;VOF;Veldstraat 36;4507 AP;SCHOONDIJKE;A.J.  Beeke;EUR;01-01-18;12;;
Holtrop-Van der Vlist B.V.;BV;Transportweg 4;9405 PR;ASSEN;W.H.G.  Holtrop;EUR;01-01-18;58;;
V.o.f. A. van Zee en Zn.;VOF;Voorstraat 10;4161 CT;HEUKELUM;A.J.G. van Zee;EUR;01-01-18;2;;
Boonstra Kraanverhuur en Transport B.V.;BV;Rinia van Nautaweg 2 A;9061 AE;GYTSJERK;K.  Boonstra;NAT;;4;;
L. van Tiel Transport B.V.;BV;Admiraal De Ruyterstraat 27;3115 HA;SCHIEDAM;L. van Tiel;EUR;01-01-18;41;;
B.V. Van Vliet Groep Milieu-Dienstverleners;BV;Grote Wade 45;3439 NZ;NIEUWEGEIN;S.  Karreman;EUR;11-10-15;86;;
V.o.f. Gebrs. Quint;VOF;Margrietlaan 13;3947 ML;LANGBROEK;J.N.  Quint;EUR;29-11-15;4;;
D. Zonneveld Transport B.V.;BV;Grote Woerdlaan 28;2671 CL;NAALDWIJK;P.A. van Velden;EUR;01-01-18;14;;
Willard Internationaal Handel-Transportbedrijf B.V.;BV;Schapendrift 2;1261 HL;BLARICUM;J.W.M.  Willard;EUR;22-03-20;5;;
Jan Kees Boer Transport B.V.;BV;Ambachtsweg 2;2957 ST;NIEUW LEKKERLAND;A.  Boer;EUR;01-01-18;29;;
J. Aalberts V.O.F.;VOF;Machineweg 40;1394 AW;NEDERHORST DEN BERG;C.  Houweling;NAT;;3;;
H. Pronk, h.o.n. Transportbedrijf Belkom;Eenmanszaak;Hand-Eg 2;1648 GD;DE GOORN;H.  Pronk;EUR;05-04-16;5;;
V.o.f. Transportbedrijf J. Duineveld & Zn.;VOF;Robert Peereboomweg 15;2031 BC;HAARLEM;C.J.  Duineveld;EUR;01-01-18;2;;
L.D. Poeze, h.o.n. Internationaal Transportbedrijf Poeze;Eenmanszaak;Veldmansweg 5;9257 VP;NOARDBURGUM;L.D.  Poeze;EUR;01-01-18;1;;
Theo Pouw B.V.;BV;Isotopenweg 29;3542 AS;UTRECHT;M.  Pouw-van Garderen;EUR;10-06-18;107;;
Pronk's Container Centrale B.V.;BV;Klinkhamer 7;1671 NH;MEDEMBLIK;P.  Muusse;NAT;;11;;
V.o.f. Firma G. Bakker en Zn.;VOF;Beulakerweg 133  B;8355 AG;GIETHOORN;K.  Bakker;EUR;01-01-18;5;;
Stubbe B.V.;BV;Edisonstraat 13;2809 PC;GOUDA;M.A.  Snel;EUR;01-01-18;9;;
V.o.f. Transport- Shovel- en Handelsonderneming Gebrs. Paap;VOF;Max. Planckstraat 17;2041 CX;ZANDVOORT;L.  Paap;EUR;31-10-17;6;;
Transport-Verhuur-Aannemingsbedrijf Gebr. Oudejans B.V.;BV;Symon Spiersweg 11;1506 RZ;ZAANDAM;J.M.  Oudejans;NAT;;10;;
V.o.f. Firma Joh. Niekerk en Zonen;VOF;Maarssenbroeksedijk 65;3606 AG;MAARSSEN;E.J.  Niekerk;EUR;21-07-16;3;;
V.o.f. Transportbedrijf Pierre en John Oudeman;VOF;Hasselaarsweg 23;1704 DX;HEERHUGOWAARD;P.J.D.  Oudeman;EUR;24-05-15;2;;
Jac. Molenaar en Zn. B.V.;BV;Vreekesweid 33;1721 PP;BROEK OP LANGEDIJK;J.J.  Molenaar;EUR;18-08-18;13;;
Transportbedrijf Jan Zevenhuizen B.V.;BV;Kanaal Zuid 6;7332 BB;APELDOORN;J.  Bosman;EUR;27-04-19;18;;
Fatrans Zwaagdijk B.V.;BV;Marktweg 8;1681 NM;ZWAAGDIJK;L.J.J.  Fatels;EUR;01-01-18;26;;
Transportbedrijf Kuiper B.V.;BV;Zoutketen 53;1601 EX;ENKHUIZEN;C.F.  Kuiper;NAT;;4;;
Almere Distributie en Opslag (ADO) B.V.;BV;Vlotbrugweg 22;1332 AJ;ALMERE;F.H.  Schouten;EUR;03-03-18;18;;
Sneltransport van Nieuwpoort B.V.;BV;Modemstraat 1;1033 RW;AMSTERDAM;L.  Verheul;NAT;;12;;
Kraanverhuur-, Takel-, Bergings- en Autotransportbedrijf Modern B.V.;BV;Elektronweg 16 A;3542 AC;UTRECHT;T. van Oort;EUR;30-08-15;6;;
A. Lust, h.o.n. A. Lust en Zoon;Eenmanszaak;Kanaaldijk 66;1121 NZ;LANDSMEER;A.  Lust;NAT;;1;;
Van Loenen Milieu B.V., t.h.o.n. Van der Heiden Milieu;BV;1e Loswal 9;1216 BA;HILVERSUM;M.P.A. van Hulst;NAT;;32;;
V.o.f. Firma J. van Leeuwen;VOF;Breudijk 3 B;3481 LM;HARMELEN;C.J. van Leeuwen;NAT;;2;;
B. van Noord;Eenmanszaak;Maisoord 6;1112 JV;DIEMEN;B. van Noord;NAT;;2;;
V.o.f. Transportbedrijf Nieman;VOF;Zwaagdijk 215;1684 NG;ZWAAGDIJK-OOST;P.  Nieman;EUR;21-04-18;5;;
A.P.G.M. van Roosendaal, h.o.n. J.B. van Roosendaal;Eenmanszaak;Europalaan 9;5121 DH;RIJEN;J.A.M.G. van Steenbergen-van Roosendaal;EUR;01-01-18;12;;
Millenaar en Van Schaik Transport B.V.;BV;Aalsmeerderdijk 83;1438 AT;OUDE MEER;C.J.  Millenaar;EUR;05-05-18;134;;
Transportbedrijf H. Vink en Zonen B.V.;BV;Valkseweg 62;3771 RG;BARNEVELD;H.  Vink;EUR;24-11-18;54;;
J. van Wijk;Eenmanszaak;Kamperfoelie 18;2074 BM;BRANDWIJK;J. van Wijk;EUR;01-01-18;1;;
Water- Wegen- en Grondwerken W. Lavän B.V.;BV;Nijverheidsweg 10;3534 AM;UTRECHT;J.  Lavän;NAT;;8;;
Expeditiebedrijf Verhoef B.V.;BV;Gageldijk 3;3602 AG;MAARSSEN;R.  Verhoef;EUR;11-10-15;25;;
GCA Transport B.V.;BV;Middenweg 28;4782 PM;MOERDIJK;P. P. van der Reijt;EUR;01-01-18;90;;
P.J.N. Mulder, h.o.n. Fa. N. Mulder & Zn.;Eenmanszaak;Ooievaarstraat 76;1781 VS;DEN HELDER;P.J.N.  Mulder;NAT;;1;;
V.o.f. Firma G. Moesbergen;VOF;Barneveldsestraat 16;3927 CC;RENSWOUDE;G.  Moesbergen;EUR;24-05-15;8;;
Hoyer Nederland B.V.;BV;Oude Maasweg 50;3197 KJ;BOTLEK ROTTERDAM;H.R. de Zeeuw;EUR;01-01-18;59;;
V.o.f. Firma A. Mantel en Zonen;VOF;Murillostraat 10;1611 DC;BOVENKARSPEL;A.  Mantel;EUR;25-10-15;2;;
Schotpoort Logistics Eerbeek B.V.;BV;Kollergang 6;6961 LZ;EERBEEK;C.  Schotpoort;EUR;01-01-18;62;;
J. Ham Internationaal Transport B.V.;BV;Westerwerf  32;1911 JA;UITGEEST;J.W.M.  Ham;EUR;06-11-16;5;;
V.o.f. Fa. C. Kuyper en Zn.;VOF;Leekerweg 15;1768 BM;BARSINGERHORN;R.C.  Kuyper;NAT;;6;;
V.o.f. Fa. C. Koomen & Zonen;VOF;Hoofdweg 1976;2158 MC;BUITENKAAG;G.J.C  Koomen;NAT;;11;;
Transport- en Aannemingsbedrijf H.M.S. Den Helder B.V.;BV;Ambachtsweg 24;1785 AJ;DEN HELDER;A.  Blokmaker-Schouwenaar;NAT;;3;;
A. Hoebe en Zn. Transport V.o.f.;VOF;Zandhaver 6;1731 LK;WINKEL;A.A.  Hoebe;EUR;27-10-19;2;;
T. op 't Hof Vee- Transportbedrijf V.o.f.;VOF;Oude Rijksweg 58;4458 SB;'s-HEER ARENDSKERKE;M.M. op 't Hof;EUR;29-05-18;1;;
Grasdrogerij Hartog B.V.;BV;Mijnsherenweg 7;1658 CA;LAMBERTSCHAAG;C.A.A.  Bankras;EUR;12-03-17;5;;
D.P.C.J. Gijse, h.o.n. Gijse Transport;Eenmanszaak;Arthur van Schendellaan 108;1422 LG;UITHOORN;D.P.C.J.  Gijse;EUR;23-08-15;1;;
V.o.f. Fa. A.C. van der Gun en Zn.;VOF;Leidsestraatweg 51;3481 EW;HARMELEN;A.C. van der Gun;EUR;23-02-20;3;;
Gerjac Transport B.V.;BV;Eendrachtsstraat 191;1951 AX;VELSEN-NOORD;J.G.  Groot;EUR;02-12-16;6;;
Groenendaal Transport B.V.;BV;Maassluissedijk 101;3133 KA;VLAARDINGEN;D.C.H. van Benschop;EUR;22-07-18;28;;
IJmond Transport Kippervervoer B.V.;BV;Nijverheidsweg 30;1948 PV;BEVERWIJK;W.E.M.  Strijk;NAT;;12;;
Gebroeders Gorter Expeditie en Verhuizingen B.V.;BV;Touwslagerij 2;1185 ZP;AMSTELVEEN;J.F.M.  Gorter;EUR;05-05-18;22;;
Kennis Transport & Logistics B.V.;BV;Hazeldonk 6308;4836 LK;BREDA;J.A.W.J.  Kennis;EUR;01-01-18;42;;
Kwartszand Transport B.V.;BV;Jongmansweg 69;6413 CR;HEERLEN;A.M.J.  Beaujean;EUR;01-01-18;4;;
Prins' Internationaal Transportbedrijf B.V.;BV;Purmerweg 39;1441 RA;PURMEREND;J.C.  Prins;EUR;01-01-18;12;;
Malenstein Air B.V.;BV;Tupolevlaan 44;1119 NZ;SCHIPHOL-RIJK;M.D.  Vorster;EUR;15-02-17;5;;
A. Agterberg B.V.;BV;Voordorpsedijk 34;3737 BK;GROENEKAN;A.T.  Agterberg;NAT;;40;;
V.o.f. Transportbedrijf Fa. Eelman;VOF;Veenselangweg 8;1791 LS;DEN BURG;P.  Eelman;NAT;;6;;
Stam en Bakker B.V.;BV;Deccaweg 27;1042 AE;AMSTERDAM;J.J.  Bakker;EUR;01-01-18;6;;
Orbons Transport B.V.;BV;Boschstraat 23;6442 PB;BRUNSSUM;W.J.G.  Orbons;EUR;01-01-18;15;;
Transportbedrijf Van Wees Malden B.V.;BV;De Hoge Brug 18;6581 AJ;MALDEN;W.G. van Wees;EUR;01-01-18;51;;
Snellen's Expeditie V.o.f.;VOF;Kruisbeekweg 32;6741 NG;LUNTEREN;E.  Snellen;EUR;01-01-18;8;;
E.A. van Donselaar-van Ettikhoven, h.o.n. Firma H. van Donselaar & Zonen;Eenmanszaak;Doornseweg 103-105;3947 MD;LANGBROEK;H.G. van Donselaar;EUR;23-02-20;6;;
Denneman Transport B.V.;BV;Strengweg 9 C;1969 KP;HEEMSKERK;W.A.M.  Denneman;NAT;;2;;
Dekker's Verhuizingen v.o.f.;VOF;Waterrad 57;1613 CT;GROOTEBROEK;E.G.  Dekker;NAT;;2;;
D. Cornelissen & Zonen Transporten B.V.;BV;Zuideinde 427;1035 PG;AMSTERDAM;D.M.  Cornelissen;EUR;30-06-18;2;;
R.G.C. Calis, h.o.n. G.N. Calis en Zonen;Eenmanszaak;Kerklaan 50;1251 JT;LAREN;R.G.C.  Calis;EUR;02-07-16;1;;
J.P. Dam, h.o.n. J.P. Dam Veetransport;Eenmanszaak;Dorpsstraat 23;1657 AA;ABBEKERK;J.P.  Dam;EUR;22-02-20;3;;
Woning Onderhoud Bedrijf Amsterdam (W.O.B.A.) B.V.;BV;Zuiderweg 6 A;1165 NA;HALFWEG;G.  Dijkstal;NAT;;2;;
B.V. v/h Fa. H. van Asch, h.o.n. Van Asch infrastructuur;BV;Lange Brinkweg 81 A;3764 AB;SOEST;H.J.  Schimmel;NAT;;1;;
R. Kranenburg, h.o.n. Kranenburg;Eenmanszaak;Middelweg 35;2151 MP;NIEUW-VENNEP;R.  Kranenburg;NAT;;1;;
V.O.F. Firma L.J. Boerkoel Melktransport;VOF;Meerdijk 5;1843 KB;GROOTSCHERMER;L.J.  Boerkoel;NAT;;3;;
Transportbedrijf Mertens-Simons B.V.;BV;Jan Amentstraat 67;6041 BD;ROERMOND;J.J.H.  Beckers;EUR;01-01-18;7;;
V.o.f Gebr. Mans;VOF;Brandlintjesweg 1;6065 AZ;MONTFORT;C.G.M.  Mans-Jeurissen;EUR;01-01-18;3;;
V.O.F. Gebr. Beijer;VOF;Zuidergracht 57;3763 LT;SOEST;M.W.J.  Beijer;EUR;19-04-20;7;;
B. van Beinum;Eenmanszaak;Zijdelweg 11;1187 ZM;AMSTELVEEN;B. van Beinum;NAT;;1;;
Bemmel Container Service B.V.;BV;Handelsweg 7;3481 MJ;HARMELEN;M.G.  Leliveld;EUR;05-02-17;10;;
Jan Arts Transporten B.V.;BV;Soemeersingel 47;5759 RB;HELENAVEEN;J.M.P. van Horen-Arts;EUR;01-01-18;22;;
Transportbedrijf J. Bakker & Zoon B.V.;BV;De Krijt 14;1935 BL;EGMOND-BINNEN;J.C.  Bakker;EUR;01-01-18;4;;
P. Baas Expeditie B.V.;BV;Metaalweg 4;3751 LS;BUNSCHOTEN-SPAKENBURG;A.  Vedder-Baas;EUR;22-01-17;17;;
S.R.M. van Doorn, h.o.n. Van Doorn Agri;Eenmanszaak;Birkstraat 122 A;3768 HL;SOEST;S.R.M.  Doorn;EUR;19-11-18;3;;
Transportbedrijf Schraven B.V.;BV;Lindenhoutseweg 54  A;6545 AJ;NIJMEGEN;R.A.H.A.  Schraven;EUR;01-01-18;20;;
R.M. Bakker Handel en Transport B.V.;BV;Ambachtsring 13;1969 NH;HEEMSKERK;R.M.  Bakker;EUR;23-02-20;2;;
V.O.F. H.J. van Cooten;VOF;Julianalaan 26;3947 MJ;LANGBROEK;R van Cooten;EUR;18-06-15;1;;
Beentjes Heemskerk Transport B.V.;BV;Maarten van Heemskerckstraat 2 A;1961 EB;HEEMSKERK;J.T.M.  Beentjes;EUR;30-06-18;1;;
